原始谓词,规范谓词,断言数
raw:战略区域,raw:战略区域,29
raw:指挥地点,raw:指挥地点,29
raw:活动地点-人物,active_at,29
raw:渗透,raw:渗透,29
raw:物资支援,raw:物资支援,29
raw:组织-执行,raw:组织-执行,29
raw:组织演变,raw:组织演变,29
raw:进入,traveled_to,29
raw:传递情报,raw:传递情报,28
raw:军事对抗,raw:军事对抗,28
raw:发生地-人物,raw:发生地-人物,28
raw:因果,raw:因果,28
raw:夺取,raw:夺取,28
raw:安排,raw:安排,28
raw:工作场所,raw:工作场所,28
raw:接应,raw:接应,28
raw:撤离,raw:撤离,28
raw:整理,raw:整理,28
raw:组成,member_of,28
raw:背景关联,raw:背景关联,28
raw:被捕关押,arrested_at,28
raw:要求,raw:要求,28
raw:讲话,raw:讲话,28
raw:领导地点,raw:领导地点,28
disseminates,disseminates,27
raw:交通路线,raw:交通路线,27
raw:关联事件与人物,raw:关联事件与人物,27
raw:关联地点与人物,raw:关联地点与人物,27
raw:发行,raw:发行,27
raw:召开,organized,27
raw:居住地,raw:居住地,27
raw:建议,raw:建议,27
raw:担任书记,held_position_in,27
raw:支援关系,supported,27
raw:职务关联,raw:职务关联,27
raw:阅读,raw:阅读,27
raw:主办,raw:主办,26
raw:主导者,led,26
raw:产物,raw:产物,26
raw:出发地,raw:出发地,26
raw:加入,member_of,26
raw:居住,raw:居住,26
raw:开展于,raw:开展于,26
raw:所属单位,raw:所属单位,26
raw:指挥于,raw:指挥于,26
raw:指挥作战,raw:指挥作战,26
raw:挺进,raw:挺进,26
raw:提供情报,raw:提供情报,26
raw:支持关系,raw:支持关系,26
raw:活动中心,active_at,26
raw:联络对象,contacted,26
raw:行动方向,raw:行动方向,26
raw:行动目标,raw:行动目标,26
raw:设立,created,26
raw:转移方向,raw:转移方向,26
raw:进军,raw:进军,26
raw:依托关系,raw:依托关系,25
raw:宣布,raw:宣布,25
raw:建立者,raw:建立者,25
raw:战斗对象,raw:战斗对象,25
raw:战略要地,raw:战略要地,25
raw:所属关系,raw:所属关系,25
raw:派遣关系,dispatched,25
raw:留下,raw:留下,25
raw:继任关系,raw:继任关系,25
raw:领导/指导,guided,25
raw:题词,raw:题词,25
rescued,raw:rescued,25
raw:事件-发生于,raw:事件-发生于,24
raw:事件时间,raw:事件时间,24
raw:交战,raw:交战,24
raw:体现于,embodied_in_event,24
raw:倡导,raw:倡导,24
raw:协助建立,raw:协助建立,24
raw:声援,raw:声援,24
raw:实行,raw:实行,24
raw:引导,guided,24
raw:当选,raw:当选,24
raw:影响对象,influenced,24
raw:报道,raw:报道,24
raw:指示来源,raw:指示来源,24
raw:收复,liberated,24
raw:改组,raw:改组,24
raw:服务对象,raw:服务对象,24
raw:活动-地点,raw:活动-地点,24
raw:消灭,raw:消灭,24
raw:率部,raw:率部,24
raw:监视,raw:监视,24
raw:组成,part_of,24
raw:行进路线,raw:行进路线,24
raw:见证者,raw:见证者,24
raw:调查,raw:调查,24
raw:领导斗争,raw:领导斗争,24
raw:剿灭,raw:剿灭,23
raw:协作关系,raw:协作关系,23
raw:发展为,raw:发展为,23
raw:发布地,raw:发布地,23
raw:培养关系,trained,23
raw:工作交接,raw:工作交接,23
raw:战略决策,raw:战略决策,23
raw:抓获,raw:抓获,23
raw:投诚,raw:投诚,23
raw:指示对象,raw:指示对象,23
raw:接受,raw:接受,23
raw:渡河,raw:渡河,23
raw:管辖区域,governed,23
raw:管辖范围,governed,23
raw:精神传承,raw:精神传承,23
raw:组织形式,raw:组织形式,23
raw:组织活动,organized,23
raw:组织活动地点,active_at,23
raw:组织行为,raw:组织行为,23
raw:行政区划隶属,raw:行政区划隶属,23
raw:表彰,raw:表彰,23
raw:负责人,held_position_in,23
raw:事件-精神,raw:事件-精神,22
raw:任务,raw:任务,22
raw:传唱,raw:传唱,22
raw:体现,embodied_by_organization,22
raw:关联人物事件,raw:关联人物事件,22
raw:军事部署,raw:军事部署,22
raw:发扬,raw:发扬,22
raw:发源地,raw:发源地,22
raw:处理,raw:处理,22
raw:工作对象,raw:工作对象,22
raw:工作调动,raw:工作调动,22
raw:张贴,raw:张贴,22
raw:战斗区域,raw:战斗区域,22
